ID,Item_01,Item_02,Item_03,Item_04,Item_05,Item_06,Item_07,Item_08
1,38,0,0,0,0,0,0,0
2,38,0,0,0,0,0,0,0
3,643,320,264,0,0,0,0,0
4,643,320,264,0,0,0,0,0
5,644,321,265,0,0,0,0,0
6,645,322,266,0,0,0,0,0
7,38,0,0,0,0,0,0,0
8,38,0,0,0,0,0,0,0
9,38,0,0,0,0,0,0,0
10,657,656,392,337,279,0,0,0
11,657,656,393,337,279,0,0,0
12,658,397,395,394,333,277,0,0
13,658,397,396,394,333,277,0,0
14,403,404,398,334,280,0,0,0
15,403,404,398,334,280,0,0,0
16,403,404,398,334,280,0,0,0
17,403,404,398,334,280,0,0,0
18,399,404,398,334,280,0,0,0
19,400,404,398,334,280,0,0,0
20,401,404,398,334,280,0,0,0
21,402,404,398,334,280,0,0,0
22,407,406,405,335,281,0,0,0
23,408,406,405,335,281,0,0,0
24,746,409,410,422,336,282,0,0
25,747,409,410,422,336,282,0,0
26,748,409,410,422,336,282,0,0
27,749,409,410,422,336,282,0,0
28,413,421,411,333,278,0,0,0
29,413,421,411,333,278,0,0,0
30,413,421,411,333,278,0,0,0
31,413,421,411,333,278,0,0,0
32,413,421,412,333,278,0,0,0
33,413,421,412,333,278,0,0,0
34,413,421,412,333,278,0,0,0
35,413,421,412,333,278,0,0,0
36,646,323,267,0,0,0,0,0
37,586,579,581,582,380,311,0,0
38,586,579,581,582,380,311,0,0
39,586,579,581,582,380,311,0,0
40,586,580,581,583,380,311,0,0
41,586,580,581,584,380,311,0,0
42,586,580,581,585,380,311,0,0
43,38,0,0,0,0,0,0,0
44,659,416,414,334,283,0,0,0
45,659,416,415,334,283,0,0,0
46,732,588,589,587,381,312,0,0
47,733,588,589,587,381,312,0,0
48,734,588,589,587,381,312,0,0
49,735,588,589,587,381,312,0,0
50,660,417,338,284,0,0,0,0
51,660,418,338,284,0,0,0,0
52,660,419,338,284,0,0,0,0
53,660,420,338,284,0,0,0,0
54,660,417,339,284,0,0,0,0
55,660,418,339,284,0,0,0,0
56,660,419,339,284,0,0,0,0
57,660,420,339,284,0,0,0,0
58,661,424,423,340,285,0,0,0
59,661,425,423,340,285,0,0,0
60,661,426,423,340,285,0,0,0
61,661,427,423,340,285,0,0,0
62,647,324,268,0,0,0,0,0
63,647,324,268,0,0,0,0,0
64,380,340,312,0,0,0,0,0
65,38,0,0,0,0,0,0,0
66,662,342,287,0,0,0,0,0
67,662,341,287,0,0,0,0,0
68,662,343,287,0,0,0,0,0
69,662,341,287,0,0,0,0,0
70,662,343,287,0,0,0,0,0
71,662,341,287,0,0,0,0,0
72,428,344,286,0,0,0,0,0
73,429,344,286,0,0,0,0,0
74,428,344,286,0,0,0,0,0
75,429,344,286,0,0,0,0,0
76,736,591,590,382,313,0,0,0
77,737,594,595,383,314,0,0,0
78,736,592,590,382,313,0,0,0
79,737,594,595,383,314,0,0,0
80,736,593,590,382,313,0,0,0
81,736,86,590,382,313,0,0,0
82,345,287,0,0,0,0,0,0
83,663,345,287,0,0,0,0,0
84,663,345,287,0,0,0,0,0
85,345,287,0,0,0,0,0,0
86,648,325,269,0,0,0,0,0
87,649,326,270,0,0,0,0,0
88,650,327,271,0,0,0,0,0
89,38,0,0,0,0,0,0,0
90,38,0,0,0,0,0,0,0
91,664,433,430,436,369,293,0,0
92,665,437,431,438,349,293,0,0
93,664,432,430,436,369,293,0,0
94,664,434,430,436,369,293,0,0
95,665,439,431,438,349,293,0,0
96,440,442,441,347,292,0,0,0
97,440,443,441,347,292,0,0,0
98,440,444,441,347,292,0,0,0
99,665,445,431,438,349,293,0,0
100,664,435,430,436,369,293,0,0
101,664,435,430,436,369,293,0,0
102,668,447,446,448,352,294,0,0
103,670,450,449,451,352,307,0,0
104,667,447,446,448,352,294,0,0
105,671,450,449,451,352,307,0,0
106,669,447,446,448,352,294,0,0
107,666,447,446,448,352,294,0,0
108,672,453,452,351,290,0,0,0
109,673,674,454,346,290,0,0,0
110,673,675,454,346,290,0,0,0
111,457,456,459,455,353,289,0,0
112,458,456,459,455,353,289,0,0
113,460,463,462,455,354,289,0,0
114,461,463,462,455,354,289,0,0
115,676,464,348,288,0,0,0,0
116,676,465,348,288,0,0,0,0
117,676,466,348,288,0,0,0,0
118,676,467,348,288,0,0,0,0
119,676,468,348,288,0,0,0,0
120,677,470,469,350,291,0,0,0
121,679,471,469,348,288,0,0,0
122,681,472,469,350,289,0,0,0
123,680,471,469,348,288,0,0,0
124,682,472,469,350,289,0,0,0
125,678,470,469,350,291,0,0,0
126,683,473,346,290,0,0,0,0
127,683,474,346,290,0,0,0,0
128,711,376,308,0,0,0,0,0
129,711,376,308,0,0,0,0,0
130,711,376,308,0,0,0,0,0
131,684,475,351,307,0,0,0,0
132,687,476,372,294,0,0,0,0
133,685,475,351,307,0,0,0,0
134,686,475,351,307,0,0,0,0
135,688,476,372,294,0,0,0,0
136,738,596,599,598,357,298,0,0
137,689,477,479,478,357,298,0,0
138,738,597,599,598,357,298,0,0
139,689,600,479,478,357,298,0,0
140,690,480,482,355,295,0,0,0
141,691,483,484,355,295,0,0,0
142,690,481,482,355,295,0,0,0
143,691,485,484,355,295,0,0,0
144,691,486,484,355,295,0,0,0
145,691,601,484,355,295,0,0,0
146,692,487,356,297,0,0,0,0
147,693,489,356,297,0,0,0,0
148,692,488,356,297,0,0,0,0
149,693,490,356,297,0,0,0,0
150,739,604,602,605,384,315,0,0
151,740,609,606,608,384,315,0,0
152,739,604,603,605,384,315,0,0
153,740,609,607,608,384,315,0,0
154,694,491,492,361,310,0,0,0
155,695,494,495,361,299,0,0,0
156,694,491,493,361,310,0,0,0
157,695,494,496,361,299,0,0,0
158,695,494,497,361,299,0,0,0
159,610,612,611,387,318,0,0,0
160,617,615,618,387,305,0,0,0
161,610,613,611,387,318,0,0,0
162,617,616,618,387,305,0,0,0
163,610,614,611,387,318,0,0,0
164,696,498,501,366,302,0,0,0
165,697,502,503,368,306,0,0,0
166,696,499,501,366,302,0,0,0
167,697,502,504,368,306,0,0,0
168,696,500,501,366,302,0,0,0
169,697,502,251,368,306,0,0,0
170,698,505,507,506,360,301,0,0
171,699,511,509,512,371,304,0,0
172,698,505,508,506,360,301,0,0
173,699,511,510,512,371,304,0,0
174,698,505,158,506,360,301,0,0
175,700,513,514,366,305,0,0,0
176,741,621,619,368,300,0,0,0
177,700,513,515,366,305,0,0,0
178,741,621,620,368,300,0,0,0
179,702,701,517,516,362,303,0,0
180,702,701,517,518,362,303,0,0
181,702,701,517,516,362,303,0,0
182,702,701,517,516,362,303,0,0
183,702,701,517,516,362,303,0,0
184,703,520,519,365,303,0,0,0
185,703,521,519,365,303,0,0,0
186,703,522,519,365,303,0,0,0
187,623,622,624,625,626,388,318,0
188,628,627,629,625,626,388,318,0
189,623,622,624,625,626,388,318,0
190,628,627,629,625,626,388,318,0
191,623,622,624,625,626,388,318,0
192,704,523,524,370,302,0,0,0
193,706,525,524,371,304,0,0,0
194,707,525,524,371,304,0,0,0
195,705,523,524,370,302,0,0,0
196,709,526,524,370,301,0,0,0
197,708,525,524,371,304,0,0,0
198,710,526,524,370,301,0,0,0
199,651,328,272,0,0,0,0,0
200,651,328,272,0,0,0,0,0
201,38,0,0,0,0,0,0,0
202,38,0,0,0,0,0,0,0
203,38,0,0,0,0,0,0,0
204,712,529,528,527,372,307,0,0
205,531,530,533,364,300,0,0,0
206,532,530,533,364,300,0,0,0
207,171,529,528,527,372,307,0,0
208,713,536,535,374,291,0,0,0
209,714,534,537,375,308,0,0,0
210,713,536,540,374,291,0,0,0
211,713,536,541,374,291,0,0,0
212,713,536,542,374,291,0,0,0
213,714,534,538,375,308,0,0,0
214,714,534,539,375,308,0,0,0
215,715,544,546,543,363,309,0,0
216,716,550,549,547,363,309,0,0
217,715,545,546,543,363,309,0,0
218,716,550,549,548,363,309,0,0
219,742,630,631,376,319,0,0,0
220,743,630,631,376,319,0,0,0
221,744,630,631,376,319,0,0,0
222,633,634,632,386,317,0,0,0
223,637,638,636,389,319,0,0,0
224,633,635,632,386,317,0,0,0
225,637,639,636,389,319,0,0,0
226,718,551,358,296,0,0,0,0
227,719,552,359,296,0,0,0,0
228,717,551,358,296,0,0,0,0
229,720,552,359,296,0,0,0,0
230,745,640,641,385,316,0,0,0
231,745,640,642,385,316,0,0,0
232,653,274,330,0,0,0,0,0
233,652,273,329,0,0,0,0,0
234,750,0,0,0,0,0,0,0
235,751,0,0,0,0,0,0,0
236,332,276,0,0,0,0,0,0
237,721,554,553,373,299,0,0,0
238,722,555,373,300,0,0,0,0
239,721,554,553,373,299,0,0,0
240,723,557,556,379,299,0,0,0
241,724,559,562,378,303,0,0,0
242,723,558,556,379,299,0,0,0
243,724,560,562,378,303,0,0,0
244,724,561,562,378,303,0,0,0
245,725,563,564,377,309,0,0,0
246,726,565,567,364,306,0,0,0
247,725,568,564,377,309,0,0,0
248,725,569,564,377,309,0,0,0
249,725,570,564,377,309,0,0,0
250,726,566,567,364,306,0,0,0
251,725,563,564,377,309,0,0,0
252,725,568,564,377,309,0,0,0
253,725,569,564,377,309,0,0,0
254,725,570,564,377,309,0,0,0
255,727,571,573,362,310,0,0,0
256,727,572,573,362,310,0,0,0
257,728,576,575,574,367,310,0,0
258,730,577,578,365,305,0,0,0
259,729,576,575,574,367,310,0,0
260,731,577,578,365,305,0,0,0
261,3,676,467,348,288,0,0,0
262,4,676,467,348,288,0,0,0
263,5,676,467,348,288,0,0,0
264,6,676,467,348,288,0,0,0
265,7,676,467,348,288,0,0,0
266,654,0,0,0,0,0,0,0
267,655,0,0,0,0,0,0,0
